Model,Context_Length,Strand,Log_Likelihood
pre_train,25000,-,-266.7663
pre_train,25000,-,-41.34965
pre_train,25000,-,-178.0927
pre_train,25000,-,-549.0892
pre_train,25000,+,-1.977794
pre_train,25000,-,-1004.43
pre_train,25000,-,-36.11449
pre_train,25000,-,-240.2797
pre_train,25000,-,-10.48406
pre_train,25000,-,-2.573362
pre_train,25000,-,-19.36293
pre_train,25000,-,-844.733
pre_train,5000,-,-48.43206
pre_train,5000,-,-107.8686
pre_train,5000,-,-22519.79
pre_train,5000,-,-1210.965
pre_train,5000,+,-0.07577734
pre_train,5000,+,-1227.493
pre_train,5000,+,-10.39952
pre_train,5000,+,-0.76716
pre_train,5000,+,-27.53428
pre_train,5000,+,-35545.22
pre_train,5000,+,-685.2031
pre_train,5000,-,-0.1944519
pre_train,5000,-,-1947.549
pre_train,5000,-,-4.476678
pre_train,25000,-,-0.3645442
pre_train,25000,+,-3850784.0
pre_train,25000,+,-74.6642
pre_train,25000,+,-2.526597
pre_train,25000,+,-0.1955313
pre_train,25000,-,-14.20587
pre_train,25000,-,-38.4381
pre_train,25000,-,-755.801
pre_train,25000,+,-1.951124
pre_train,25000,+,-5.098719
pre_train,25000,-,-60202.31
pre_train,25000,+,-121.4795
pre_train,25000,-,-0.1554049
pre_train,25000,-,-70.11647
pre_train,25000,-,-2.627791
pre_train,25000,+,-10.18148
pre_train,25000,+,-4491.724
pre_train,25000,+,-57.03617
pre_train,25000,-,-218.0968
pre_train,25000,-,-1589.719
pre_train,25000,-,-44.33451
pre_train,25000,-,-411.9134
pre_train,25000,+,-0.1220362
pre_train,25000,+,-118.3771
pre_train,25000,+,-4.960164
pre_train,25000,+,-0.5225058
pre_train,25000,+,-2.877471
pre_train,25000,+,-861.7127
pre_train,25000,+,-101.2984
pre_train,25000,+,-48.29627
pre_train,25000,+,-1548.808
pre_train,25000,+,-134.0799
pre_train,25000,+,-10882.06
pre_train,25000,+,-9.405325
pre_train,25000,+,-45425230.0
pre_train,25000,+,-2095.731
pre_train,25000,+,-1014.0
pre_train,25000,+,-97.40788
pre_train,25000,+,-10865.56
pre_train,25000,+,-2106.369
pre_train,25000,+,-377.3013
pre_train,25000,-,-1.354816
pre_train,25000,+,-2254.086
pre_train,25000,+,-152.1978
pre_train,25000,+,-6452.738
pre_train,25000,+,-0.3626884
pre_train,25000,+,-1.51736
